State	State Code	ZCTA	Congressional District Number	CD	2016 House Margin
MN	27	56065	1	MN1	0.7
MN	27	56068	1	MN1	0.7
MN	27	56069	1	MN1	0.7
MN	27	56071	1	MN1	0.7
MN	27	56072	1	MN1	0.7
MN	27	56073	1	MN1	0.7
MN	27	56074	1	MN1	0.7
MN	27	56075	1	MN1	0.7
MN	27	56078	1	MN1	0.7
MN	27	56080	1	MN1	0.7
MN	27	56081	1	MN1	0.7
MN	27	56082	1	MN1	0.7
MN	27	56083	1	MN1	0.7
MN	27	56085	1	MN1	0.7
MN	27	56087	1	MN1	0.7
MN	27	56088	1	MN1	0.7
MN	27	56089	1	MN1	0.7
MN	27	56090	1	MN1	0.7
MN	27	56091	1	MN1	0.7
MN	27	56093	1	MN1	0.7
MN	27	56096	1	MN1	0.7
MN	27	56097	1	MN1	0.7
MN	27	56098	1	MN1	0.7
MN	27	56101	1	MN1	0.7
MN	27	56110	1	MN1	0.7
MN	27	56111	1	MN1	0.7
MN	27	56116	1	MN1	0.7
MN	27	56117	1	MN1	0.7
MN	27	56118	1	MN1	0.7
MN	27	56119	1	MN1	0.7
MN	27	56120	1	MN1	0.7
MN	27	56121	1	MN1	0.7
MN	27	56122	1	MN1	0.7
MN	27	56127	1	MN1	0.7
MN	27	56128	1	MN1	0.7
MN	27	56129	1	MN1	0.7
MN	27	56131	1	MN1	0.7
MN	27	56134	1	MN1	0.7
MN	27	56137	1	MN1	0.7
MN	27	56138	1	MN1	0.7
MN	27	56141	1	MN1	0.7
MN	27	56143	1	MN1	0.7
MN	27	56144	1	MN1	0.7
MN	27	56145	1	MN1	0.7
MN	27	56146	1	MN1	0.7
MN	27	56147	1	MN1	0.7
MN	27	56150	1	MN1	0.7
MN	27	56153	1	MN1	0.7
MN	27	56155	1	MN1	0.7
MN	27	56156	1	MN1	0.7
MN	27	56158	1	MN1	0.7
MN	27	56159	1	MN1	0.7
MN	27	56160	1	MN1	0.7
MN	27	56161	1	MN1	0.7
MN	27	56162	1	MN1	0.7
MN	27	56165	1	MN1	0.7
MN	27	56167	1	MN1	0.7
MN	27	56168	1	MN1	0.7
MN	27	56171	1	MN1	0.7
MN	27	56173	1	MN1	0.7
MN	27	56176	1	MN1	0.7
MN	27	56181	1	MN1	0.7
MN	27	56185	1	MN1	0.7
MN	27	56187	1	MN1	0.7
MN	27	56266	1	MN1	0.7
MN	27	57030	1	MN1	0.7
MN	27	57068	1	MN1	0.7
NE	31	68007	2	NE2	1.2
NE	31	68010	2	NE2	1.2
NE	31	68022	2	NE2	1.2
NE	31	68028	2	NE2	1.2
NE	31	68046	2	NE2	1.2
NE	31	68059	2	NE2	1.2
NE	31	68064	2	NE2	1.2
NE	31	68069	2	NE2	1.2
NE	31	68102	2	NE2	1.2
NE	31	68104	2	NE2	1.2
NE	31	68105	2	NE2	1.2
NE	31	68106	2	NE2	1.2
NE	31	68107	2	NE2	1.2
NE	31	68108	2	NE2	1.2
NE	31	68110	2	NE2	1.2
